trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
451,False,"{'a': 0.5, 'e': 0.1048735437362869}",30,15,27.069478106976995,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.5, 'e': 0.104350484754765}",25,0,10.981966072935831,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
453,False,"{'a': 0.5, 'e': 0.10383003454079692}",25,5,37.23688408870581,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.5, 'e': 0.1033121800831002}",20,2,-21.266649618473053,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
455,False,"{'a': 0.5, 'e': 0.1027969084352864}",30,16,21.539756817204285,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.5, 'e': 0.10228420671553744}",25,4,27.899750151445296,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
457,False,"{'a': 0.5, 'e': 0.10177406210628372}",25,8,9.11619612841263,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
458,False,"{'a': 0.5, 'e': 0.1012664618538834}",25,19,14.439613233791096,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.5, 'e': 0.10076139326830373}",20,10,17.034760732508186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,13,3.7342685541878335,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
461,False,"{'a': 0.5, 'e': 0.09975880065361863}",30,0,2.3561262726007186,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
462,False,"{'a': 0.5, 'e': 0.09926125155964566}",20,9,8.633751459112624,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
463,False,"{'a': 0.5, 'e': 0.09876618400213154}",25,0,-14.40214203900944,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
464,False,"{'a': 0.5, 'e': 0.09827358560436154}",20,0,3.1759430390781045,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
465,False,"{'a': 0.5, 'e': 0.09778344405135005}",25,0,33.75206761184907,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
466,False,"{'a': 0.5, 'e': 0.09729574708953276}",30,8,26.730034144958378,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
467,False,"{'a': 0.5, 'e': 0.09681048252646021}",25,17,16.912573799814588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.5, 'e': 0.09632763823049303}",20,1,20.41813883943036,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.5, 'e': 0.09584720213049865}",20,11,16.45481259984952,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,0,10.412285213235275,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
